test_id,name,outcome,detail,latency_ms,command_id
"T01","Bridge alive and responding","PASS","version=0.4.1, a11y=True",282,"7b5e0edd-235d-4284-b6b7-cd93d9bc1488"
"T02","Security scan passes","PASS","PASS: All security checks passed",0,""
"T03","Contract verification passes","PASS","PASS: Canonical JSON + HMAC contract verified",0,""
"T04","Dedup verification passes","PASS","PASS: Deduplication logic verified",0,""
"T05","Full suite passes","PASS","PASS: Tasker Gateway Hardened Executor v1 — all checks pass",0,""
"T06","No hardcoded secrets","PASS","✅ PASS: No hardcoded secrets found in repository",0,""
"T07","Transport has no /shell or am broadcast","PASS","",0,""
"T08","No eval(source) in Tasker code","PASS","",0,""
"T09","No /sdcard in Tasker code","PASS","",0,""
"T10","Only device_owner.status.v1 allowed","PASS","",0,""
"T11","Bearer prefix enforced","PASS","",0,""
"T12","FLAG_RECEIVER_EXPORTED is local constant","PASS","",0,""
"T13","Response payloadForSigning removes auth","PASS","",0,""
"T14","Uses java.util.Base64 (not android)","PASS","",0,""
"T15","CI workflow configured correctly","PASS","",0,""
"T16","Device identity accessible","PASS","model=Pixel 8, android=17, sdk=37",0,""
"T17","Tasker Device Owner check","FAIL","",0,""
"T18","Accessibility service running","PASS","",0,""
"T19","No banned secrets in Tasker code","PASS","",0,""
"T20","Auth: valid token accepted, invalid rejected","PASS","valid=True, invalid_rejected=True",0,""
